ragione_sociale,email,sito_web,descrizione,nazione,stand,telefono,marchi,social,nuovo
STEPHEN NEW LINE SRL,,www.stephennewline.it,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Cinture",ITALIA,,+39-0733203655,,https://www.facebook.com/StephenNewLineSrl/?fref=ts https://www.instagram.com/stephennewline/,SI
TORPEDO INTERNATIONAL PVT. LTD. - INDIA,,,,INDIA,,,,,SI
TRANSWORLD SHOES PVT. LTD.,,www.transworldshoes.com,,INDIA,,,,,
UNIDO CREATIVE TUNISIA CONSORTIUM,,https://www.unido.org,"Borse|Piccola pelletteria (portafogli,",AUSTRIA,,,,https://www.instagram.com/shekaz__leather/,SI
VITTORIO SAFINO,,www.vittorio-safino.com,"Borse|Piccola pelletteria (portafogli,",UKRAINE,,+380933644588,,,SI
WALKING STICKS SRL,,www.utile4.com,"Piccola pelletteria (portafogli,|Accessori|Ombrelli",ITALIA,,0434640370,,,SI
WEBM ITALIA S.R.L.,,,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Cinture",ITALIA,,0245475211,,,SI
A AND A RESORT WEAR LLP.,,www.avaniandamyra.com,Borse|Articoli da Viaggio|Accessori|Ombrelli|Maglieria|Cappelli|Sciarpe,INDIA,,+91-120242468,Avani & Amyra,https://www.instagram.com/avaniandamyra/,
A FASHIONS,,www.afashions.net,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Cinture",INDIA,,,AF,https://www.instagram.com/a_fashionskolkata/,
ABRO GMBH & CO KG,,www.abro.de,"Borse|Piccola pelletteria (portafogli,",GERMANY,N07 O08,+49-610669960,Abro,www.facebook.com/abrotaschen https://www.instagram.com/abro_official/,
ABRO GMBH & CO KG,,www.abro.de,"Borse|Piccola pelletteria (portafogli,",GERMANY,N07 O08,+49-610669960,abruder@abro.de,www.facebook.com/abrotaschen https://www.instagram.com/abro_official/,
ADIBA EXIMS,,www.adibaleather.com,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Cinture",INDIA,,,,,SI
CREAZIONI M.G. SAS,,,"Borse|Piccola pelletteria (portafogli,|Cinture",ITALIA,U79 L16,+39-051863560,Alchimia | AU 79,https://www.instagram.com/alchimia_au79/,
ALMA MILANO,,www.aiginmilano.com,Borse|Articoli da Viaggio,ITALIA,E18,,Aigin Milano,https://www.instagram.com/aigin.milano/,
ALMA TONUTTI DI VICARIO FABIO & C S.A.S,,www.almatonutti.it,Borse,ITALIA,D17,+39-0432571219,Alma Tonutti,www.facebook.com/almatonutti www.instagram.com/almatonutti/,
ALTA MODA BELT SRL,,www.altamodabelt.it,"Piccola pelletteria (portafogli,|Cinture",ITALIA,C15,,Altamoda,https://www.instagram.com/altamodabelt/?hl=it,
"ANHUI ZHONGRUN FOREIGN ECONOMIC & TRADE CO., LTD.,",,www.zhongrunbag.com,Borse,"CHINA, PEOPLE'S REPUBLIC",,,,,SI
ARCADIA SRL,,www.arcadiabags.com,Borse,ITALIA,I23 L24,+39-086183275,Arcadia,www.facebook.com/arcadiaBags www.instagram.com/arcadiabags,
ARRON SRL,,www.arron.it,"Borse|Piccola pelletteria (portafogli,|Accessori|Cinture",ITALIA,E16,+39057523351,Arron,https://www.facebook.com/arroncinture https://www.instagram.com/arron.it/,
LEPL ENTERPRISE GEORGIA,,https://www.facebook.com/profile.php?id=100039504625455,"Borse|Piccola pelletteria (portafogli,|Accessori",GEORGIA,N13,995555000482,Art E&J,https://www.facebook.com/profile.php?id=100083232553746&mibextid=,
ARTKIY DERI MAMULLERI SAN. TIC. LTD. STI.,,www.artkiy.com.tr,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Cinture",TURKEY,,+902322741616,,,
ATELIER NICHITA SRL,,https://nichita.ro/,"Piccola pelletteria (portafogli,|Accessori|Cinture",ROMANIA,V12,,Atelier Nichita,https://www.facebook.com/AtelierNichita https://www.instagram.com/nichita.ro?igsh=MWtxM3Y4dzMzOTJrNQ==,
AXIS SRL DI FORTI CARLO,,www.axis-italy.com;www.carloforti.it,Cappelli,ITALIA,U12,,Carlo Forti | Fortissimo,Axis https://www.facebook.com/share/16WQcWESRp/?mibextid=wwXIfr - https://www.facebook.com/share/1Ad57jSDyG/?mibextid=wwXIfr https://www.instagram.com/fortissimohats?igsh=eGhlY293ZmdpYXc= - https://www.instagram.com/carlo_forti?igsh=MXNiaGo1Ympndnh0ag==,
BAGATELLE FRANCE,,www.bagatellefrance.com,Borse|Cappelli,FRANCE,H05 I06,,,https://www.instagram.com/bagatellefrance/,
BERRETTIFICIO LUCKY HAT SRL,,,Cappelli|Sciarpe,ITALIA,N15,3496117491,Luckyhat,https://www.instagram.com/luckyhat_official/?hl=it,
BERTINI MICHELE & GIOVANNI SNC,,www.caterinabertini.it,Borse|Cappelli,ITALIA,T09,,Caterina Bertini,https://www.facebook.com/CaterinaBertini-298605863529975/ https://www.instagram.com/caterina.bertini/,
BGM MODE ACCESSOIRES GMBH .,,www.b-belt.fashion,Cinture,GERMANY,R04 R06,,B.Belt | Vanzetti,https://www.facebook.com/vanzetti.fashion https://www.instagram.com/vanzetti.fashion/,
ANTONY GROUP SRL,,www.biagini1968.com,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Cinture",ITALIA,H21 H22,+39-059271360,Biagini,www.facebook.com/biagini1968 twitter.com/silvanobiagini www.instagram.com/biagini_1968,
BOCHICCHIO CINTURE SNC,,www.bochicchiocinture.com,"Piccola pelletteria (portafogli,|Cinture",ITALIA,T22,,,,
BOLDRINI SELLERIA SRL,,www.boldriniselleria.com,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,",ITALIA,D21 E22,+39-0572411516,Boldrini Selleria dal 1955,https://www.instagram.com/boldrini_selleria/,
BONFANTI BORSE SRL,,www.bonfantiborse.it,Borse|Articoli da Viaggio,ITALIA,L23 M24,+390331-600366,Bonfanti,www.facebook.com/bonfantiborse www.instagram.com/bonfantiborse/,
BORSACCO FIORE SRL,,www.borsaccofiore.com,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Cinture",ITALIA,H11,,,,
GRAZIELLA BRACCIALINI S.P.A.,,www.braccialini.it,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Guanti|Ombrelli|Maglieria|Cappelli|Sciarpe|Scarp",ITALIA,B21 B22,+39-05575771,Braccialini,https://www.facebook.com/braccialini/ https://www.instagram.com/braccialini?igsh=MWlzY3U0bWwwbGk4eQ=,
BRC SRL,,www.mbrc.it,"Borse|Piccola pelletteria (portafogli,|Capispalla in pelle|Cappelli|Sciarpe",ITALIA,I15,+39-0558315697,,https://www.facebook.com/MBRCdesign/ https://www.instagram.com/m__brc/,
BRIC'S INDUSTRIA VALIGERIA FINE SPA,,www.brics.it,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Cinture",ITALIA,O23 Q24,+39-031994111,Bric's | Bric's Replay | BY | Porsche Design,www.facebook.com/bricsitalia www.instagram.com/bricsmilano/,
BRUNO CARLO S.A.S. DI BRUNO FEDERICA & C.,,www.brunocarlo.com,Accessori|Guanti|Capispalla in pelle|Maglieria|Cappelli|Sciarpe,ITALIA,G16,+39-0184355144,Bruno Carlo,www.facebook.com/brunocarlo1970 twitter.com/brunocarlo1970 www.instagram.com/brunocarlo1970 www.pinterest.com/brunocarlo1970,
BRUNO ROSSI BAGS SRL,,www.brunorossibags.it,Borse|Articoli da Viaggio,ITALIA,B15 B16,+39-057121011,Rossi,https://www.facebook.com/brunorossibags https://instagram.com/brunorossibags?igshid=NTc4MTIwNjQ2YQ==,
FASHION LINK SRL UNIP.,,,"Borse|Piccola pelletteria (portafogli,",ITALIA,B05 B06,+39-0421953946,Caleidos,https://www.facebook.com/Caleidosborse https://www.instagram.com/caleidos_borse/,
GABS SRL,,www.caterinalucchi.com,"Borse|Piccola pelletteria (portafogli,|Accessori",ITALIA,M23,0547376147,,https://www.facebook.com/gabsbag - https://www.facebook.com/caterinalucchi.bags/ https://www.instagram.com/gabs.official/ - https://www.instagram.com/caterinalucchi_bags/,
GABS SRL,,www.gabs.it,"Borse|Piccola pelletteria (portafogli,|Accessori",ITALIA,M21 N22,0547376147,Caterina Lucchi | Gabs,https://www.facebook.com/gabsbag - https://www.facebook.com/caterinalucchi.bags/ https://www.instagram.com/gabs.official/ - https://www.instagram.com/caterinalucchi_bags/,
C.A.P.A.F SNC,,https://www.capaffirenze.com/,Borse,ITALIA,H15,+39-055720758,Capaf,https://www.facebook.com/capaffirenze https://www.instagram.com/capaf.firenze,
CARESTA STORE .,,www.caresta.ro,Borse,ROMANIA,U11,,Caresta,https://www.facebook.com/carestabags https://www.instagram.com/caresta.official/,
CARIDEI GLOVE FACTORY SRL,,www.caridei.it,Guanti,ITALIA,M07,+39-0815449823,,https://www.instagram.com/caridei_gloves/?hl=it,
CARLO SALVATELLI SRL,,www.carlosalvatelli.it,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Cinture",ITALIA,C23 D24,+39-0734889263,Carlo Salvatelli,https://www.facebook.com/carlosalvatellibags/ https://www.instagram.com/carlosalvatelli/,
MARCHETTI S.R.L.,,www.pelletteriacharlotte.it,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori",ITALIA,B07 B14,+39-0365654113,Charlotte | Marchetti,www.facebook.com/charlotte.pelletteria www.instagram.com/charlottepelletteria,
CHIARUGI FIRENZE PELLETTERIA SRL,,www.chiarugifirenze.it,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Cinture",ITALIA,G21 G22,0571260902,Chiarugi,https://www.facebook.com/chiarugifirenze/ https://www.instagram.com/chiarugifirenze/,
CIVICO 93 SRL,,www.civico93.com,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,",ITALIA,O93 U12,+390815888924,Civico 93,https://www.facebook.com/civico93.pulicati https://www.instagram.com/civico93_pulicati/#,
"COIRO CO., LTD SOUTH KOREA",,http://l-andshop.com/,"Borse|Piccola pelletteria (portafogli,|Accessori",,P29,,Coiro Optics | Temp's,,
COMPLIT SRL,,www.complit.it,Cappelli,ITALIA,L14,0734760712,Complit | Piccarda,www.facebook.com/Complit-Fashion-Hats-521739814553745 https://www.instagram.com/complit_fashion_hats/,
COSMO LLC,,www.cosmohandmade.com,"Borse|Piccola pelletteria (portafogli,|Accessori|Cinture",GEORGIA,,+995591117195,,https://www.facebook.com/cosmo.com.ge https://www.instagram.com/cosmo.com.ge/,SI
VINTAGE BIJOUX SAS DI PETRONE FRANCESCO E C.,,www.cosmopetrone.it,"Borse|Piccola pelletteria (portafogli,|Accessori|Cinture",ITALIA,U23,+39-0458980700,Cosmo Petrone,,
"CRAFTER UNION CO.,LTD",,www.toittbags.com,Borse,,V07,8227767070,Toitt,https://www.facebook.com/TOITTBAGS/ https://www.instagram.com/toitt_bags,
DA.RI.FUR SRL,,https://www.nima1708.com/it/,Accessori|Guanti|Cappelli|Sciarpe,ITALIA,,0499903197,NiMA1708,https://www.instagram.com/nima1708/,SI
DEVA INTERNATIONAL EXIM PVT LTD,,www.devainternational.com,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori",INDIA,H03,,Jeane Sophie,https://www.instagram.com/devaintlexim/,
DOPPLER E.DOPPLER & CO GMBH,,www.dopplerschirme.com,Ombrelli,AUSTRIA,E05 F06,+43-772263205164,Doppler | Doppler Manufaktur,www.facebook.com/dopplerschirme https://www.instagram.com/dopplerschirme/,
DUDUBAGS SRL,,www.dudubags.com,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Cinture",ITALIA,M15,+39-0434551583,DuDu,facebook.com/dudubags instagram.com/dudubags,
ECHOLAC EUROPE SRL,,www.echolac.eu,Articoli da Viaggio|Accessori,ITALIA,,,,https://www.facebook.com/echolacofficial https://www.instagram.com/echolac_official/,
ELDA TRADE SRL,,www.gianniconti.com,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Cinture",ITALIA,E06,+39-0733559013,Gianni Conti,www.facebook.com/giannicontibags www.instagram.com/giannicontibags,
ELEGANT INTERNATIONAL,,www.elegantinternational.in,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Cinture",INDIA,,9836532967,Rolando,,
EPI SRL,,www.ilatro.com,Articoli da Viaggio,ITALIA,V08,+39-3393636746,,www.facebook.com/Ilatro-435832326590830 twitter.com/IlatroDesign www.instagram.com/ilatro,
FANTINI PELLETTERIA,,www.business.fantinipelletteria.it,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Capispalla in pelle|Cinture",SAN MARINO,I13,,Fantini,https://www.facebook.com/fantinipelletteria/ https://www.instagram.com/fantinipelletteria/,
FAUSTO COLATO SRL,,www.faustocolato.it,Cinture,ITALIA,T23,,Fausto Colato,https://www.instagram.com/fausto_colato_accessori/,
FH STORE SRLS,,www.fhstore.it,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Guanti|Capispalla in pelle|Cinture|Sciarpe|Scarpe",ITALIA,U10,0272004447,fashion helmet | gulf Italia | vintage race | warson motors,https://www.instagram.com/fhstoremilano/,
RECO'S SNC,,www.fontanellirecos.it,"Borse|Piccola pelletteria (portafogli,|Cinture",ITALIA,H16,+39-055828629,Fontanelli | Fontanelli by Reco's,,
G.P. EXPORTS,,,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Cinture",INDIA,,+919831081373,,,SI
GALA GLOVES SRL UNIPERSONALE,,www.galagloves.it,Guanti|Cappelli,ITALIA,,0815732422,,https://www.instagram.com/galagloves/?hl=it,SI
GENNY IL PELLETTIERE SNC,,www.gennyilpellettiere.it,Cinture,ITALIA,G15 G17,+390817500011,Genny Il Pellettiere,www.facebook.com/Genny-il-Pellettiere-snc-186375376802 https://www.instagram.com/gennyilpellettiere?igsh=d2p1bDYzanR1cXpi,
GEPHERRINI EXPORT LLC,,www.gepherrini.com,Borse|Accessori,GEORGIA,N06,+9950322042000,Gepherrini,https://www.facebook.com/gepherrini https://www.instagram.com/gepherrini/,
GERMAN PAVILION C/O LEIPZIGER MESSE INTERNATIONAL GMBH .,,https://www.german-pavilion.com/de/mipel-spring-2026,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Bijoux|Guanti|Ombrelli|Stampa specializzata",GERMANY,Q05,,,,
GIRONACCI PELLETTERIE SRL,,www.gironacci.it,"Borse|Piccola pelletteria (portafogli,|Cinture",ITALIA,E23 F24,0734889341,Gironacci,www.facebook.com/gironaccipelletterie https://www.instagram.com/gironacci_official/,
GROWMORE INTERNATIONAL LIMITED,,www.growmore.in,"Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Cinture",INDIA,U25,,An Affordable Luxury | GIL,https://www.facebook.com/GrowmoreInt https://www.instagram.com/growmoregilofficial/,
GRUPPO DESIGN SRL,,www.nannini.it,"Borse|Piccola pelletteria (portafogli,|Accessori|Guanti|Ombrelli|Cinture|Maglieria|Cappelli|Sciarp",ITALIA,D23 E24,+39-3932477195,Nannini,https://www.instagram.com/nannini_bags_firenze/?hl=it,
IBABY FOOTWEAR INTERNATIONAL LIMITED,,https://howardshawn.com/,,"CHINA, PEOPLE'S REPUBLIC",R28,,,,
ITALGUANTO SRL,,http://www.italguanto.it/,Guanti,ITALIA,H18,+390815446320,,https://www.facebook.com/italguantosrl/ https://www.instagram.com/italguanto_srl/?hl=it,
J.GROUP SRL,,www.jgroupsrl.it,"Borse|Piccola pelletteria (portafogli,|Accessori|Cinture",ITALIA,,,Sara by JG | Studio Flo,https://www.instagram.com/j.group_official/,SI
JRMAAMS INVESTMENTS PTY LTD T/A RIPPLE & CO.,,www.rippleandco.com.au,"Borse|Piccola pelletteria (portafogli,",AUSTRALIA,,,,https://www.facebook.com/ripple.and.co.au https://www.instagram.com/rippleandco/,SI
KAPOOR INDUSTRIES,,,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori",INDIA,,+91-3322906757,Rath Logo | Ravik,,
KARALI DERI,,www.karalideri.com,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Cinture",TURKEY,S21,+905397621272,Karali Deri,https://www.instagram.com/karalileather,
Manual Fashion Ltd - Pecsi Gloves International,,www.karmagloves.com,Guanti,HUNGARY,,,Karma Gloves,https://www.facebook.com/karmapecsikesztyu/ https://www.instagram.com/karmagloves/,SI
LO STILE SRL .,,www.laviafirenze.com,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori",ITALIA,G11 G13,,La Via Firenze,https://www.instagram.com/lostilefirenze?igsh- https://www.instagram.com/laviafirenze,
LA.I.PE. SPA,,www.cromia.it,"Borse|Piccola pelletteria (portafogli,|Accessori|Cinture|Sciarpe",ITALIA,A16 A22,+39-0733971541,Cromia | Ermanno Firenze | ErmannoScervino,www.facebook.com/CromiaHandbagsandAccessories https://www.instagram.com/cromiaofficial/,
LEXIAPEL SRL,,www.lexiapel.it,Borse|Accessori,ITALIA,H13,+39-03227227,Lanzetti,https://www.facebook.com/lanzettiborse/ https://www.instagram.com/lanzettiborse/,
LARIOSETA SPA,,https://larioseta.com/,Accessori|Sciarpe,ITALIA,C16,+39-031570823,Barbieri | Pollini,www.facebook.com/larioseta www.instagram.com/barbieri1945,
LA SRL,,www.l-aura.it,Borse,ITALIA,T14,,L'Aura,https://www.instagram.com/L_auraofficial/,
LAURA BORSETTIFICIO DI BALDUCCI PAOLA,,www.borsettificiolaura.it,Borse,ITALIA,E19,057120523,,,
LBI EXPORT PRIVATE LIMITED,,http://lbiexport.co.in,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori|Cinture",INDIA,T32,,,,
SARA SRL,,www.loristella.com/it/,Borse,ITALIA,C07 C08,+39-0861758076,Loristella,www.facebook.com/Loristella www.instagram.com/loristella.official/,
LUANA FERRACUTI SRL,,www.luanaferracuti.com,"Borse|Piccola pelletteria (portafogli,",ITALIA,M13,3486508077,,https://m.facebook.com/LuanaFerracuti.store/?locale2=it_IT https://www.instagram.com/luana_ferracuti/,
BEBOLD SRLS .,,www.maglow.it,Borse|Accessori,ITALIA,V15,,,https://www.facebook.com/maglowofficial https://www.instagram.com/maglow_official?igsh=OHpmOTh0NGszNmF6,
MAP ITALY BAGS DI AUGUSTO MANFRIN,,www.map-italybags.it,Borse,ITALIA,G14,+39335255846,Map | Paolo Perli,,
JAMAICA 2020 SRL,,www.marcomasi.it,"Borse|Piccola pelletteria (portafogli,",ITALIA,R04,+39-028466527,Marco Masi Milano,marcomasimilano marcomasimilano,
MARINI SILVANO SRL,,www.marinisilvano.com,Accessori|Guanti|Maglieria|Cappelli|Sciarpe,ITALIA,F20,+39-0734760437,Marini Silvano,https://www.facebook.com/Marini-Silvano-147174698689151/ https://www.instagram.com/marinisilvano/,
PELLETTERIA ORLANDI MARINO,,www.marinoorlandi.com,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Accessori",ITALIA,C05 C06,0733281294,Marino Orlandi | Sabina Orlandi,https://www.facebook.com/OrlandiMarinoPelletteriaItaly/ https://www.instagram.com/marino.orlandi.official/,
MALAS PEIXOTO SOARES LDA,,www.martaponti.com,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,",PORTUGAL,I07 L08,+351-214989740,Marta Ponti MP,www.facebook.com/martaponti.official twitter.com/MartaPonti_MP www.instagram.com/martaponti_official,
MARTINI SRL,,www.barnacashmere.it,Maglieria|Cappelli|Sciarpe,ITALIA,F05,0744426741,,https://www.facebook.com/barnamartini https://www.instagram.com/barnacashmere/,
MAXIMA SRL,,www.maximabags.com,"Borse|Piccola pelletteria (portafogli,",ITALIA,C20,+39-0256808740,Maxima,https://www.facebook.com/maximabagsmilano www.instagram.com/MAXIMABAGS,
MBP LEATHER INDUSTRIES CO.LTD,,www.albedo-co.com,"Borse|Piccola pelletteria (portafogli,|Accessori|Cinture",THAILAND,U22,+66-023880176-9,,https://www.facebook.com/AlbedoClub?mibextid=JRoKGi https://www.instagram.com/albedostyle?igsh=cXJsOGVmdHZtaTYy,
MEDICI OF FLORENCE SRL,,www.mediciofflorence.com,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Cinture",ITALIA,E15,+39-055282321,I Medici Firenze,,
ALESIA SAS,,https://memosinestudio.com/,,ITALIA,U15,,Memosine Studio,https://www.instagram.com/memosine_studio/,
MERANDI,,,Borse,THAILAND,,,,https://www.facebook.com/ateliermerandi instagram.com/ateliermerandi,SI
LAMBERTI CREAZIONI SRLS,,www.mespecta.com,"Borse|Articoli da Viaggio|Piccola pelletteria (portafogli,|Cinture",ITALIA,U14,,Mespecta,https://www.facebook.com/mespectaitaliapelletteria https://www.instagram.com/mespecta_italia,
MULTITUDES S.R.L.,,https://multitudes.it/,Borse|Sciarpe,ITALIA,T12,,Multitudes,https://www.facebook.com/p/Multitudes-Milano-61553761552521/ https://www.instagram.com/multitudes_milano/,
NETWORK LEATHER GOODS PVT.LTD,,www.networkleather.com,"Borse|Piccola pelletteria (portafogli,|Accessori",INDIA,,+913324428041,,facebook.com/network.leathers1989 instagram.com/networkleathers,
NIAGARA & CO. SRL,,www.niagarasrl.com,"Piccola pelletteria (portafogli,|Accessori|Cinture",ITALIA,N16,+390354536424,Bronzino,https://www.instagram.com/niagara_co/,
